"Label (Grouping)","Workers 16 years and over","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Drove alone","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 2-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 3-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 4-or-more person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Workers per car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home","Workers 16 years and over!!PLACE OF WORK","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked in place of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked outside place of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked in minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked outside minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in 12 selected states","Workers 16 years and over who did not work from home","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m.","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Workers 16 years and over in households","VEHICLES AVAILABLE!!Workers 16 years and over in households!!No vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!1 vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!2 vehicles available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!3 or more vehicles available","PERCENT ALLOCATED","PERCENT ALLOCATED!!Means of transportation to work","PERCENT ALLOCATED!!Private vehicle occupancy","PERCENT ALLOCATED!!Place of work","PERCENT ALLOCATED!!Time of departure to go to work","PERCENT ALLOCATED!!Travel time to work","PERCENT ALLOCATED!!Vehicles available"
"        Estimate","667","","81.1%","64.2%","16.9%","15.9%","1.0%","0.0%","1.12","10.5%","0.0%","0.0%","0.0%","8.4%","","100.0%","97.8%","2.2%","0.0%","100.0%","69.0%","31.0%","0.0%","0.0%","0.0%","0.0%","100.0%","611","","2.1%","4.9%","0.0%","16.2%","4.9%","19.6%","0.0%","8.7%","2.0%","41.6%","","0.0%","2.0%","10.1%","25.2%","2.9%","20.0%","7.7%","11.0%","21.1%","37.2","","667","5.4%","17.8%","28.2%","48.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±144","","±8.0","±10.7","±9.1","±9.1","±1.7","±5.1","±0.07","±6.9","±5.1","±5.1","±5.1","±6.0","","±5.1","±3.0","±3.0","±5.1","±5.1","±12.0","±12.0","±5.1","±5.1","±5.1","±5.1","±5.1","±125","","±3.0","±4.3","±5.6","±8.1","±4.1","±9.8","±5.6","±6.2","±2.7","±11.7","","±5.6","±2.8","±7.2","±8.8","±3.1","±9.9","±6.0","±8.3","±10.6","±5.6","","±144","±4.1","±8.7","±10.0","±12.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 2340, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,357","","80.5%","72.8%","7.7%","3.9%","1.4%","2.4%","1.06","7.6%","0.0%","1.3%","2.3%","8.2%","","98.8%","95.6%","3.2%","1.2%","100.0%","62.0%","38.0%","0.0%","0.0%","0.0%","0.0%","100.0%","2,163","","7.5%","6.4%","10.2%","6.5%","9.6%","14.2%","7.9%","12.6%","2.3%","22.8%","","0.3%","5.1%","9.2%","11.0%","11.7%","27.1%","9.8%","12.0%","13.8%","35.5","","2,353","2.7%","27.1%","34.7%","35.5%","","10.9%","10.7%","13.5%","20.5%","17.1%","1.4%"
"        Margin of Error","±300","","±6.6","±7.1","±4.4","±2.5","±1.5","±2.5","±0.04","±4.9","±0.2","±1.3","±2.2","±4.6","","±1.9","±2.9","±2.2","±1.9","±1.5","±9.3","±9.3","±1.5","±1.5","±1.5","±1.5","±1.5","±320","","±4.2","±3.4","±4.5","±3.3","±4.8","±6.0","±4.1","±5.2","±1.7","±6.1","","±0.5","±3.5","±5.1","±4.5","±8.4","±7.8","±4.5","±4.6","±5.1","±3.2","","±300","±2.3","±9.4","±10.7","±11.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,121","","74.0%","69.0%","5.1%","0.0%","0.0%","5.1%","1.06","9.5%","0.0%","2.6%","3.7%","10.1%","","97.5%","93.8%","3.7%","2.5%","100.0%","55.5%","44.5%","0.0%","0.0%","0.0%","0.0%","100.0%","1,008","","13.2%","8.7%","13.3%","10.2%","11.0%","13.3%","0.7%","3.5%","1.5%","24.6%","","0.7%","4.9%","2.8%","21.3%","16.4%","17.0%","11.8%","9.9%","15.3%","36.4","","1,121","2.0%","22.9%","37.7%","37.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±198","","±12.0","±13.0","±5.1","±3.1","±3.1","±5.1","±0.06","±8.7","±3.1","±2.7","±4.3","±7.2","","±3.9","±5.2","±3.1","±3.9","±3.1","±14.3","±14.3","±3.1","±3.1","±3.1","±3.1","±3.1","±194","","±8.7","±6.3","±8.3","±6.4","±6.6","±7.9","±1.5","±4.3","±1.6","±10.8","","±1.0","±5.7","±3.4","±8.3","±12.7","±10.1","±8.4","±7.1","±9.8","±5.8","","±198","±2.5","±10.9","±12.3","±14.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,236","","86.4%","76.4%","10.0%","7.4%","2.7%","0.0%","1.07","5.8%","0.1%","0.2%","1.0%","6.6%","","100.0%","97.2%","2.8%","0.0%","100.0%","67.9%","32.1%","0.0%","0.0%","0.0%","0.0%","100.0%","1,155","","2.5%","4.4%","7.4%","3.2%","8.4%","15.0%","14.2%","20.6%","3.0%","21.2%","","0.0%","5.3%","14.8%","1.9%","7.6%","35.9%","8.1%","13.9%","12.6%","34.8","","1,232","3.3%","30.9%","32.0%","33.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±255","","±6.5","±8.1","±6.7","±4.9","±2.8","±2.8","±0.05","±4.6","±0.3","±0.3","±1.3","±4.6","","±2.8","±2.9","±2.9","±2.8","±2.8","±8.5","±8.5","±2.8","±2.8","±2.8","±2.8","±2.8","±253","","±2.9","±4.6","±6.2","±2.8","±5.8","±8.7","±7.4","±8.0","±3.0","±9.0","","±3.0","±5.4","±8.5","±2.3","±6.5","±10.5","±5.1","±6.2","±6.2","±3.7","","±255","±3.7","±11.7","±11.8","±13.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 2342, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,279","","99.4%","85.5%","13.8%","10.2%","1.7%","1.9%","1.09","0.0%","0.0%","0.0%","0.6%","0.0%","","100.0%","97.7%","2.3%","0.0%","100.0%","59.2%","40.8%","0.0%","0.0%","0.0%","0.0%","100.0%","1,279","","1.1%","4.5%","0.0%","8.9%","3.8%","28.4%","3.7%","18.6%","7.6%","23.4%","","1.6%","5.2%","4.5%","8.9%","5.8%","21.1%","25.7%","14.8%","12.4%","40.5","","1,279","0.0%","16.8%","63.3%","19.9%","","13.1%","13.1%","11.6%","18.9%","24.5%","0.0%"
"        Margin of Error","±195","","±1.1","±7.8","±7.9","±7.0","±2.2","±1.9","±0.05","±2.7","±2.7","±2.7","±1.1","±2.7","","±2.7","±2.2","±2.2","±2.7","±2.7","±8.1","±8.1","±2.7","±2.7","±2.7","±2.7","±2.7","±195","","±1.3","±5.2","±2.7","±4.8","±3.9","±9.3","±3.7","±10.8","±6.7","±10.4","","±2.2","±3.7","±3.4","±5.0","±4.8","±9.4","±9.5","±8.8","±6.3","±6.5","","±195","±2.7","±7.4","±12.0","±12.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","681","","98.8%","91.9%","6.9%","5.0%","0.0%","1.9%","1.04","0.0%","0.0%","0.0%","1.2%","0.0%","","100.0%","98.7%","1.3%","0.0%","100.0%","59.9%","40.1%","0.0%","0.0%","0.0%","0.0%","100.0%","681","","2.1%","8.5%","0.0%","4.1%","1.5%","26.6%","0.9%","26.1%","7.0%","23.2%","","1.3%","7.9%","5.3%","14.0%","10.9%","20.6%","21.7%","10.4%","7.9%","38.2","","681","0.0%","18.8%","63.0%","18.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±125","","±2.0","±6.1","±6.0","±5.1","±5.0","±2.7","±0.04","±5.0","±5.0","±5.0","±2.0","±5.0","","±5.0","±2.5","±2.5","±5.0","±5.0","±11.0","±11.0","±5.0","±5.0","±5.0","±5.0","±5.0","±125","","±2.5","±9.5","±5.0","±7.2","±2.8","±13.7","±2.0","±14.8","±7.4","±9.3","","±2.3","±7.0","±5.3","±8.3","±8.8","±11.2","±14.0","±7.3","±9.6","±11.6","","±125","±5.0","±9.9","±12.7","±11.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","598","","100.0%","78.3%","21.7%","16.2%","3.7%","1.8%","1.14","0.0%","0.0%","0.0%","0.0%","0.0%","","100.0%","96.7%","3.3%","0.0%","100.0%","58.4%","41.6%","0.0%","0.0%","0.0%","0.0%","100.0%","598","","0.0%","0.0%","0.0%","14.4%","6.5%","30.4%","6.9%","10.0%","8.2%","23.6%","","2.0%","2.0%","3.5%","3.2%","0.0%","21.7%","30.3%","19.7%","17.6%","43.1","","598","0.0%","14.5%","63.7%","21.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±180","","±5.7","±12.2","±12.2","±11.4","±4.7","±3.1","±0.09","±5.7","±5.7","±5.7","±5.7","±5.7","","±5.7","±3.9","±3.9","±5.7","±5.7","±12.2","±12.2","±5.7","±5.7","±5.7","±5.7","±5.7","±180","","±5.7","±5.7","±5.7","±11.8","±7.3","±17.1","±7.6","±9.5","±7.2","±19.4","","±3.6","±2.9","±4.0","±4.0","±5.7","±15.8","±12.6","±16.1","±10.5","±6.8","","±180","±5.7","±10.3","±18.4","±20.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 2343, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,944","","79.7%","76.1%","3.7%","3.7%","0.0%","0.0%","1.02","7.2%","4.5%","0.0%","0.0%","8.6%","","100.0%","98.5%","1.5%","0.0%","100.0%","69.8%","30.2%","0.0%","0.0%","0.0%","0.0%","100.0%","1,776","","0.7%","1.4%","3.9%","2.6%","6.6%","20.6%","4.4%","24.3%","5.1%","30.5%","","2.2%","0.0%","7.5%","12.6%","7.4%","30.4%","6.6%","11.9%","21.4%","38.6","","1,944","6.1%","50.0%","35.9%","8.0%","","7.9%","7.8%","9.3%","20.2%","9.4%","6.6%"
"        Margin of Error","±381","","±7.8","±8.0","±3.9","±3.9","±1.8","±1.8","±0.03","±5.4","±4.6","±1.8","±1.8","±4.5","","±1.8","±1.3","±1.3","±1.8","±1.8","±7.9","±7.9","±1.8","±1.8","±1.8","±1.8","±1.8","±371","","±1.8","±1.7","±4.0","±3.2","±5.7","±8.1","±3.0","±9.1","±4.8","±12.0","","±3.5","±1.9","±6.0","±7.1","±6.4","±10.3","±5.1","±7.1","±9.1","±4.7","","±381","±5.6","±11.1","±10.5","±7.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","845","","83.4%","75.0%","8.4%","8.4%","0.0%","0.0%","1.05","8.5%","4.6%","0.0%","0.0%","3.4%","","100.0%","96.4%","3.6%","0.0%","100.0%","69.5%","30.5%","0.0%","0.0%","0.0%","0.0%","100.0%","816","","1.5%","0.0%","6.9%","4.0%","8.5%","24.3%","0.0%","24.4%","6.7%","23.8%","","4.8%","0.0%","5.6%","15.6%","5.4%","38.5%","7.0%","5.3%","17.9%","37.8","","845","0.0%","48.2%","41.2%","10.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±212","","±11.3","±11.5","±8.9","±8.9","±4.1","±4.1","±0.06","±8.8","±7.3","±4.1","±4.1","±5.4","","±4.1","±2.9","±2.9","±4.1","±4.1","±11.5","±11.5","±4.1","±4.1","±4.1","±4.1","±4.1","±211","","±4.0","±4.2","±8.2","±6.4","±7.6","±11.6","±4.2","±12.6","±8.2","±14.3","","±7.5","±4.2","±7.9","±12.5","±7.2","±15.3","±8.8","±5.9","±11.9","±7.5","","±212","±4.1","±15.1","±14.4","±9.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,099","","76.9%","76.9%","0.0%","0.0%","0.0%","0.0%","1.00","6.1%","4.4%","0.0%","0.0%","12.6%","","100.0%","100.0%","0.0%","0.0%","100.0%","70.1%","29.9%","0.0%","0.0%","0.0%","0.0%","100.0%","960","","0.0%","2.6%","1.5%","1.4%","5.0%","17.4%","8.2%","24.2%","3.6%","36.1%","","0.0%","0.0%","9.1%","10.1%","9.2%","23.5%","6.3%","17.5%","24.4%","39.3","","1,099","10.7%","51.4%","31.8%","6.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±258","","±10.9","±10.9","±3.1","±3.1","±3.1","±3.1","±0.01","±6.2","±6.4","±3.1","±3.1","±7.0","","±3.1","±3.1","±3.1","±3.1","±3.1","±10.5","±10.5","±3.1","±3.1","±3.1","±3.1","±3.1","±248","","±3.6","±3.2","±2.3","±2.2","±7.3","±11.7","±5.8","±13.1","±5.8","±14.1","","±3.6","±3.6","±8.0","±7.6","±10.0","±12.4","±6.9","±11.4","±13.0","±5.6","","±258","±9.4","±13.4","±12.3","±6.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 2345.01, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,151","","85.0%","80.6%","4.3%","3.3%","0.0%","1.0%","1.03","9.5%","1.4%","0.9%","0.0%","3.3%","","100.0%","97.8%","2.2%","0.0%","100.0%","78.9%","21.1%","0.0%","0.0%","0.0%","0.0%","100.0%","1,113","","10.5%","7.5%","4.3%","7.1%","3.6%","16.6%","1.4%","7.8%","12.1%","29.0%","","1.1%","4.9%","11.0%","13.8%","7.2%","29.7%","5.0%","16.4%","10.8%","33.5","","1,135","0.8%","13.7%","30.7%","54.8%","","10.1%","11.3%","12.3%","17.1%","16.4%","0.0%"
"        Margin of Error","±206","","±8.2","±8.1","±2.6","±2.2","±3.0","±1.8","±0.02","±7.8","±1.4","±1.5","±3.0","±3.1","","±3.0","±2.5","±2.5","±3.0","±3.0","±7.4","±7.4","±3.0","±3.0","±3.0","±3.0","±3.0","±197","","±5.2","±5.7","±3.9","±5.1","±2.6","±7.2","±1.2","±4.2","±5.3","±10.7","","±1.2","±3.7","±6.1","±7.5","±4.1","±9.5","±2.8","±5.8","±7.0","±4.4","","±207","±1.3","±7.9","±11.5","±12.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","640","","84.5%","83.8%","0.8%","0.8%","0.0%","0.0%","1.00","6.4%","1.6%","1.6%","0.0%","5.9%","","100.0%","98.4%","1.6%","0.0%","100.0%","77.8%","22.2%","0.0%","0.0%","0.0%","0.0%","100.0%","602","","12.6%","10.8%","8.0%","4.0%","3.3%","16.6%","0.8%","8.3%","5.5%","30.1%","","1.0%","2.0%","12.6%","10.6%","10.1%","33.7%","2.0%","17.1%","10.8%","35.6","","624","0.0%","12.0%","25.3%","62.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±133","","±8.2","±8.5","±1.1","±1.1","±5.3","±5.3","±0.01","±6.2","±2.2","±2.6","±5.3","±5.4","","±5.3","±2.2","±2.2","±5.3","±5.3","±10.1","±10.1","±5.3","±5.3","±5.3","±5.3","±5.3","±122","","±8.9","±9.9","±7.2","±5.6","±3.2","±8.2","±1.2","±6.3","±5.5","±13.6","","±1.8","±2.4","±9.8","±8.4","±6.9","±11.7","±2.3","±7.9","±7.1","±5.7","","±136","±5.5","±9.7","±12.6","±14.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","511","","85.5%","76.7%","8.8%","6.5%","0.0%","2.3%","1.07","13.3%","1.2%","0.0%","0.0%","0.0%","","100.0%","97.1%","2.9%","0.0%","100.0%","80.2%","19.8%","0.0%","0.0%","0.0%","0.0%","100.0%","511","","8.0%","3.5%","0.0%","10.8%","3.9%","16.6%","2.2%","7.2%","20.0%","27.8%","","1.2%","8.4%","9.0%","17.6%","3.7%","25.0%","8.6%","15.7%","10.8%","31.2","","511","1.8%","15.9%","37.2%","45.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±140","","±11.9","±11.1","±5.7","±4.5","±6.6","±4.1","±0.05","±11.9","±1.8","±6.6","±6.6","±6.6","","±6.6","±4.9","±4.9","±6.6","±6.6","±9.0","±9.0","±6.6","±6.6","±6.6","±6.6","±6.6","±140","","±8.0","±5.7","±6.6","±6.7","±4.0","±9.6","±2.5","±5.8","±10.2","±12.8","","±1.8","±7.6","±7.8","±12.5","±4.4","±11.5","±5.2","±8.3","±8.8","±5.0","","±140","±3.0","±11.0","±14.6","±16.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 2345.02, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,140","","89.2%","87.6%","1.6%","1.6%","0.0%","0.0%","1.01","2.1%","0.2%","0.0%","0.7%","7.8%","","100.0%","100.0%","0.0%","0.0%","100.0%","73.0%","27.0%","0.0%","0.0%","0.0%","0.0%","100.0%","1,051","","2.1%","5.4%","0.9%","8.8%","6.4%","15.3%","6.3%","6.9%","6.5%","41.6%","","3.3%","2.7%","6.9%","18.6%","6.5%","31.2%","14.6%","5.0%","11.3%","32.6","","1,137","1.5%","34.4%","51.5%","12.6%","","10.2%","10.6%","18.1%","17.5%","19.6%","0.0%"
"        Margin of Error","±235","","±7.2","±7.2","±2.1","±2.1","±3.0","±3.0","±0.01","±2.0","±0.3","±3.0","±1.0","±6.7","","±3.0","±3.0","±3.0","±3.0","±3.0","±10.3","±10.3","±3.0","±3.0","±3.0","±3.0","±3.0","±238","","±3.0","±4.4","±1.5","±7.9","±5.6","±7.8","±5.2","±5.2","±6.2","±12.7","","±3.8","±4.6","±4.9","±12.1","±5.4","±14.8","±7.8","±4.1","±9.4","±3.9","","±234","±1.8","±13.3","±15.8","±11.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","599","","83.8%","83.8%","0.0%","0.0%","0.0%","0.0%","1.00","1.3%","0.2%","0.0%","1.3%","13.4%","","100.0%","100.0%","0.0%","0.0%","100.0%","75.8%","24.2%","0.0%","0.0%","0.0%","0.0%","100.0%","519","","4.2%","4.2%","1.7%","0.0%","10.2%","15.0%","10.8%","1.7%","6.6%","45.5%","","0.2%","5.4%","10.6%","17.7%","5.2%","52.2%","5.6%","1.5%","1.5%","27.4","","598","2.0%","22.4%","63.9%","11.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±171","","±13.3","±13.3","±5.7","±5.7","±5.7","±5.7","±0.02","±2.0","±0.4","±5.7","±2.0","±12.8","","±5.7","±5.7","±5.7","±5.7","±5.7","±11.3","±11.3","±5.7","±5.7","±5.7","±5.7","±5.7","±179","","±6.4","±5.4","±3.2","±6.5","±10.2","±8.9","±9.1","±2.8","±9.6","±13.8","","±0.5","±9.6","±8.7","±13.1","±5.9","±20.7","±6.6","±2.6","±2.3","±3.7","","±170","±2.5","±14.3","±19.4","±12.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","541","","95.2%","91.9%","3.3%","3.3%","0.0%","0.0%","1.02","3.0%","0.2%","0.0%","0.0%","1.7%","","100.0%","100.0%","0.0%","0.0%","100.0%","69.9%","30.1%","0.0%","0.0%","0.0%","0.0%","100.0%","532","","0.0%","6.6%","0.0%","17.3%","2.6%","15.6%","1.9%","11.8%","6.4%","37.8%","","6.4%","0.0%","3.2%","19.4%","7.7%","10.7%","23.3%","8.5%","20.9%","37.7","","539","0.9%","47.7%","37.8%","13.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±138","","±4.4","±6.4","±4.3","±4.3","±6.3","±6.3","±0.03","±3.6","±0.4","±6.3","±6.3","±2.4","","±6.3","±6.3","±6.3","±6.3","±6.3","±16.3","±16.3","±6.3","±6.3","±6.3","±6.3","±6.3","±136","","±6.4","±8.4","±6.4","±13.7","±4.6","±11.7","±2.1","±10.6","±6.4","±17.1","","±7.3","±6.4","±4.0","±13.2","±8.3","±9.7","±13.3","±8.7","±16.2","±6.4","","±137","±1.4","±15.2","±13.7","±11.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 2346, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,220","","84.9%","74.3%","10.6%","7.1%","0.8%","2.7%","1.08","9.5%","0.0%","0.0%","0.0%","5.7%","","100.0%","98.4%","1.6%","0.0%","100.0%","58.5%","41.5%","0.0%","0.0%","0.0%","0.0%","100.0%","2,094","","6.2%","1.9%","2.6%","6.5%","6.8%","11.7%","5.8%","16.8%","1.1%","40.6%","","0.0%","4.1%","4.8%","10.8%","1.6%","30.9%","16.0%","16.5%","15.3%","36.8","","2,214","5.0%","15.4%","53.3%","26.3%","","8.9%","9.6%","14.6%","18.5%","19.2%","3.1%"
"        Margin of Error","±315","","±6.0","±7.5","±5.5","±5.0","±1.3","±2.5","±0.04","±4.6","±1.6","±1.6","±1.6","±3.7","","±1.6","±1.8","±1.8","±1.6","±1.6","±8.3","±8.3","±1.6","±1.6","±1.6","±1.6","±1.6","±321","","±7.7","±1.6","±2.3","±4.2","±4.2","±5.3","±3.4","±7.8","±1.3","±7.1","","±1.7","±3.5","±3.8","±5.8","±1.6","±8.3","±6.3","±5.7","±6.4","±3.2","","±312","±3.7","±6.0","±12.4","±11.1","","(X)","(X)","(X)","(X)","(X)","(X)"
